CID,Isomeric SMILES
2788101,CC(C(=O)OC1=C(C=C(C=C1)C(=O)C)OC)N2C(=O)C3=CC=CC=C3C2=O
3240738,CC1CCN(CC1)CCCNS(=O)(=O)C2=CC(=CC3=C2N(CC3)C(=O)C)Br
662702,CC1=CC(=C(C(=C1)Cl)NC(=O)CSC2=NN=C(N2CC3=CC=CO3)C4=CC=NC=C4)C
1241181,CC1=NC2=C(C(=N1)N3CCN(CC3)C)SC(=S)N2C4=CC=CC=C4
2959276,C1CC(OC1)CNC(=O)C2=CC=C(C=C2)CNS(=O)(=O)C3=CC(=CC=C3)Cl
932150,C1=CC=C(C=C1)P(=S)(CC#N)C2=CC=CC=C2
685138,CC1=NON=C1OCCN2C(=NC=C2[N+](=O)[O-])C
4836583,CCC(CC)C1=NN=C(S1)NC(=O)CN2C(=O)C3C4CC(C3C2=O)C=C4
4830939,COC(=O)C1=CC=CC=C1S(=O)(=O)N2CCC(CC2)C(=O)OCC(=O)NCC(F)(F)F
12004649,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3=NN[C@H]4[C@@H]3C(=O)N(C4=O)C5=CC=CC(=C5)C(F)(F)F
664852,CCN1C2=C(C=C3C=CC(=CC3=N2)C)C(=N1)NC(=O)C4=CC=CO4
647858,COCCC1=NN=C(S1)NC(=O)CC2=CC=CC=C2
1129747,COC1=CC=CC=C1N2CCN(CC2)C(=O)CN3C4=C(CCC4)C(=N3)C(F)(F)F
16188557,C1CC(CN(C1)C(=O)CN2C=NN=N2)CCC(=O)NCC3=CC=CC=C3F
2468068,CC(=O)NCCC(=O)N[C@@H](CCSC)C1=NC2=CC=CC=C2N1
5348383,C/C(=N\NC(=O)C1(CC1(Br)Br)C)/C2=CC=C(C=C2)[N+](=O)[O-]
4015001,CCCSC1=NN=C(S1)N2C3=C(C(CC2=O)C4=CSC=C4)C(=O)CCC3
649845,CC1CCC2=C(C1)SC(=C2C(=O)OC)NC(=O)COC
3427188,CCOC(=O)CC1COC2=CC=CC=C2N1C(=O)C3=CC=C(C=C3)F
3130840,CN(C)C1N2C(=NN1C(=O)C3=CC=CC=C3)C4=CC=CC=C4S2(=O)=O
